file,satisfiable,total_time,calls,unit_props,literal_choices,max_depth,backtracks,conflicts,heuristic_time
puzzle_260.cnf,SATISFIABLE,0.002685070037841797,66,64,1,65,0,0,0.00012200000000001099
puzzle_738.cnf,SATISFIABLE,0.0027971267700195312,66,64,1,65,0,0,0.000124000000000013
puzzle_710.cnf,SATISFIABLE,0.0026230812072753906,66,64,1,65,0,0,0.000128000000000017
puzzle_704.cnf,SATISFIABLE,0.002526998519897461,66,64,1,65,0,0,0.000128000000000017
puzzle_937.cnf,SATISFIABLE,0.0033299922943115234,66,64,1,65,0,0,0.00011500000000003174
puzzle_923.cnf,SATISFIABLE,0.002613067626953125,66,64,1,65,0,0,0.00012599999999995948
puzzle_880.cnf,SATISFIABLE,0.002950906753540039,66,64,1,65,0,0,0.00011500000000003174
puzzle_658.cnf,SATISFIABLE,0.002668142318725586,66,64,1,65,0,0,0.00012599999999995948
puzzle_894.cnf,SATISFIABLE,0.0025861263275146484,66,64,1,65,0,0,0.00011800000000000699
puzzle_3.cnf,SATISFIABLE,0.002694845199584961,66,64,1,65,0,0,0.000130000000000019
puzzle_664.cnf,SATISFIABLE,0.0028471946716308594,66,64,1,65,0,0,0.00012299999999998423
puzzle_102.cnf,SATISFIABLE,0.0035109519958496094,66,64,1,65,0,0,0.00011800000000000699
puzzle_116.cnf,SATISFIABLE,0.002763032913208008,66,64,1,65,0,0,0.00012000000000000899
puzzle_670.cnf,SATISFIABLE,0.002804994583129883,66,64,1,65,0,0,0.00012000000000000899
puzzle_843.cnf,SATISFIABLE,0.002679109573364258,66,64,1,65,0,0,0.00012000000000000899
puzzle_857.cnf,SATISFIABLE,0.002710103988647461,66,64,1,65,0,0,0.00012700000000004374
puzzle_328.cnf,SATISFIABLE,0.002714872360229492,66,64,1,65,0,0,0.00011800000000000699
puzzle_300.cnf,SATISFIABLE,0.0029129981994628906,66,64,1,65,0,0,0.00013299999999999423
puzzle_466.cnf,SATISFIABLE,0.0032608509063720703,66,64,1,65,0,0,0.00011800000000000699
puzzle_472.cnf,SATISFIABLE,0.002792835235595703,66,64,1,65,0,0,0.00011699999999997823
puzzle_314.cnf,SATISFIABLE,0.002550840377807617,66,64,1,65,0,0,0.00012299999999998423
puzzle_499.cnf,SATISFIABLE,0.0028989315032958984,66,64,1,65,0,0,0.00012999999999996348
puzzle_498.cnf,SATISFIABLE,0.0026710033416748047,66,64,1,65,0,0,0.00014100000000000223
puzzle_473.cnf,SATISFIABLE,0.002788066864013672,66,64,1,65,0,0,0.000126000000000015
puzzle_315.cnf,SATISFIABLE,0.002607107162475586,66,64,1,65,0,0,0.000130000000000019
puzzle_301.cnf,SATISFIABLE,0.003348827362060547,66,64,1,65,0,0,0.00011800000000000699
puzzle_467.cnf,SATISFIABLE,0.0026390552520751953,66,64,1,65,0,0,0.00011600000000000499
puzzle_329.cnf,SATISFIABLE,0.0031888484954833984,66,64,1,65,0,0,0.000154000000000043
puzzle_856.cnf,SATISFIABLE,0.0025899410247802734,66,64,1,65,0,0,0.00012499999999998623
puzzle_842.cnf,SATISFIABLE,0.0026502609252929688,66,64,1,65,0,0,0.00012099999999998223
puzzle_117.cnf,SATISFIABLE,0.002604961395263672,66,64,1,65,0,0,0.000124000000000013
puzzle_671.cnf,SATISFIABLE,0.002725839614868164,66,64,1,65,0,0,0.00012900000000004574
puzzle_665.cnf,SATISFIABLE,0.0026679039001464844,66,64,1,65,0,0,0.000128000000000017
puzzle_103.cnf,SATISFIABLE,0.003843069076538086,66,64,1,65,0,0,0.00017699999999998273
puzzle_2.cnf,SATISFIABLE,0.0025589466094970703,66,64,1,65,0,0,0.00012000000000000899
puzzle_895.cnf,SATISFIABLE,0.002727985382080078,66,64,1,65,0,0,0.00012100000000003774
puzzle_659.cnf,SATISFIABLE,0.002671957015991211,66,64,1,65,0,0,0.000128000000000017
puzzle_881.cnf,SATISFIABLE,0.0027790069580078125,66,64,1,65,0,0,0.00012599999999995948
puzzle_922.cnf,SATISFIABLE,0.0028781890869140625,66,64,1,65,0,0,0.000148000000000037
